,date,date.1,city,co,pm2.5,Lat,Long
253,2014-10,10,Tianjin,353.0,5385.0,39.084158,117.200983
254,2014-10,10,Tokyo,310.0,1776.0,35.6414629,139.6981712
255,2014-10,10,Weifang,255.0,4844.0,36.706774,119.161756
256,2014-10,10,Zhengzhou,694.0,5621.0,34.7466,113.625368
257,2014-10,10,Zhoukou,1050.0,7325.0,33.626149,114.696951
258,2014-11,11,Bangalore,130.0,1620.0,12.938539,77.5901
259,2014-11,11,Baoding,1073.0,8655.0,38.873891,115.464806
260,2014-11,11,Beijing,431.0,5015.0,39.954592,116.468117
261,2014-11,11,Changsha,338.0,4661.0,28.228209,112.938814
262,2014-11,11,Chengdu,314.0,4384.0,30.6250145,104.0670559
263,2014-11,11,Chongqing,343.0,5394.0,29.56301,106.551557
264,2014-11,11,Dongguan,306.0,4126.0,23.020536,113.751765
265,2014-11,11,Guangzhou,328.0,3883.0,23.141191,113.258374
266,2014-11,11,Handan,673.0,6500.0,36.625604,114.539085
267,2014-11,11,Jinan,570.0,5816.0,36.650997,117.120497
268,2014-11,11,Jining,578.0,6503.0,35.414921,116.587099
269,2014-11,11,Kuala Lumpur,525.0,4246.0,3.139003,101.686855
270,2014-11,11,Lima,90.0,1380.0,-12.07054,-77.04322
271,2014-11,11,Linyi,707.0,6444.0,35.104672,118.356448
272,2014-11,11,Moscow,2250.0,210.0,55.759354,37.595584
273,2014-11,11,Nagoya,120.0,2266.0,35.1814464,136.906398
274,2014-11,11,Nanyang,546.0,5197.0,32.990833,112.528322
275,2014-11,11,New York,30.0,1261.0,40.7127837,-74.0059413
276,2014-11,11,Paris,204.0,2468.0,48.856614,2.3522219
277,2014-11,11,Seoul,202.0,2638.0,37.566535,126.9779692
278,2014-11,11,Shanghai,185.0,3734.0,31.2047372,121.4489017
279,2014-11,11,Shijiazhuang,673.0,6466.0,38.042307,114.51486
280,2014-11,11,Tianjin,516.0,5410.0,39.084158,117.200983
281,2014-11,11,Tokyo,300.0,1872.0,35.6414629,139.6981712
282,2014-11,11,Weifang,441.0,5729.0,36.706774,119.161756
283,2014-11,11,Zhengzhou,766.0,6029.0,34.7466,113.625368
284,2014-11,11,Zhoukou,1419.0,6129.0,33.626149,114.696951
285,2014-12,12,Bangalore,75.0,1674.0,12.938539,77.5901
286,2014-12,12,Baoding,2044.0,8950.0,38.873891,115.464806
287,2014-12,12,Beijing,438.0,4151.0,39.954592,116.468117
288,2014-12,12,Changsha,322.0,4930.0,28.228209,112.938814
289,2014-12,12,Chengdu,383.0,5211.0,30.6250145,104.0670559
290,2014-12,12,Chongqing,442.0,5710.0,29.56301,106.551557
291,2014-12,12,Dongguan,338.0,4436.0,23.020536,113.751765
292,2014-12,12,Guangzhou,356.0,4166.0,23.141191,113.258374
293,2014-12,12,Handan,924.0,6683.0,36.625604,114.539085
294,2014-12,12,Hyderābād,473.0,3310.0,17.384050369263,78.456359863281
295,2014-12,12,Jinan,462.0,5588.0,36.650997,117.120497
296,2014-12,12,Jining,446.0,6145.0,35.414921,116.587099
297,2014-12,12,Kolkāta,503.0,5088.0,22.562629699707,88.363037109375
298,2014-12,12,Kuala Lumpur,646.0,4259.0,3.139003,101.686855
299,2014-12,12,Lima,93.0,1426.0,-12.07054,-77.04322
300,2014-12,12,Linyi,665.0,6857.0,35.104672,118.356448
301,2014-12,12,Moscow,2325.0,237.0,55.759354,37.595584
302,2014-12,12,Mumbai,502.0,3548.0,19.072830200195,72.882606506348
303,2014-12,12,Nagoya,124.0,1817.0,35.1814464,136.906398
304,2014-12,12,Nanyang,655.0,5562.0,32.990833,112.528322
305,2014-12,12,New York,31.0,1521.0,40.7127837,-74.0059413
306,2014-12,12,Paris,172.0,2651.0,48.856614,2.3522219
307,2014-12,12,Seoul,215.0,2311.0,37.566535,126.9779692
308,2014-12,12,Shanghai,252.0,4364.0,31.2047372,121.4489017
309,2014-12,12,Shijiazhuang,962.0,7162.0,38.042307,114.51486
310,2014-12,12,Tianjin,555.0,5365.0,39.084158,117.200983
311,2014-12,12,Tokyo,310.0,1625.0,35.6414629,139.6981712
312,2014-12,12,Weifang,382.0,5537.0,36.706774,119.161756
313,2014-12,12,Zhengzhou,745.0,5253.0,34.7466,113.625368
314,2014-12,12,Zhoukou,1445.0,5129.0,33.626149,114.696951
315,2015-1,1,Bangalore,33.0,1674.0,12.938539,77.5901
316,2015-1,1,Baoding,1470.0,9348.0,38.873891,115.464806
317,2015-1,1,Beijing,536.0,5101.0,39.954592,116.468117
318,2015-1,1,Changsha,489.0,5687.0,28.228209,112.938814
319,2015-1,1,Chengdu,461.0,6373.0,30.6250145,104.0670559
320,2015-1,1,Chongqing,488.0,6473.0,29.56301,106.551557
321,2015-1,1,Dongguan,338.0,4646.0,23.020536,113.751765
322,2015-1,1,Ganzhou,661.0,4254.0,25.831829,114.93503
323,2015-1,1,Guangzhou,375.0,4553.0,23.141191,113.258374
324,2015-1,1,Handan,933.0,7606.0,36.625604,114.539085
325,2015-1,1,Hyderābād,491.0,4555.0,17.384050369263,78.456359863281
326,2015-1,1,Jinan,692.0,6380.0,36.650997,117.120497
327,2015-1,1,Jining,602.0,6226.0,35.414921,116.587099
328,2015-1,1,Kolkāta,584.0,6473.0,22.562629699707,88.363037109375
329,2015-1,1,Kuala Lumpur,699.0,4852.0,3.139003,101.686855
330,2015-1,1,Lima,93.0,1426.0,-12.07054,-77.04322
331,2015-1,1,Linyi,702.0,6854.0,35.104672,118.356448
332,2015-1,1,Moscow,2325.0,213.0,55.759354,37.595584
333,2015-1,1,Mumbai,795.0,4870.0,19.072830200195,72.882606506348
334,2015-1,1,Nagoya,124.0,1940.0,35.1814464,136.906398
335,2015-1,1,Nanyang,667.0,6094.0,32.990833,112.528322
336,2015-1,1,New York,31.0,1731.0,40.7127837,-74.0059413
337,2015-1,1,Paris,176.0,2713.0,48.856614,2.3522219
338,2015-1,1,Seoul,248.0,2892.0,37.566535,126.9779692
339,2015-1,1,Shanghai,277.0,4675.0,31.2047372,121.4489017
340,2015-1,1,Shijiazhuang,1177.0,7976.0,38.042307,114.51486
341,2015-1,1,Tianjin,674.0,5508.0,39.084158,117.200983
342,2015-1,1,Tokyo,310.0,1514.0,35.6414629,139.6981712
343,2015-1,1,Weifang,439.0,5723.0,36.706774,119.161756
344,2015-1,1,Zhengzhou,714.0,6947.0,34.7466,113.625368
345,2015-1,1,Zhoukou,1210.0,6389.0,33.626149,114.696951
346,2015-2,2,Bangalore,138.0,1512.0,12.938539,77.5901
347,2015-2,2,Baoding,1088.0,7524.0,38.873891,115.464806
348,2015-2,2,Beijing,354.0,4109.0,39.954592,116.468117
349,2015-2,2,Changsha,376.0,4599.0,28.228209,112.938814
350,2015-2,2,Chengdu,345.0,4681.0,30.6250145,104.0670559
351,2015-2,2,Chongqing,400.0,4678.0,29.56301,106.551557
352,2015-2,2,Dongguan,273.0,3718.0,23.020536,113.751765
353,2015-2,2,Ganzhou,532.0,3722.0,25.831829,114.93503
354,2015-2,2,Guangzhou,314.0,3949.0,23.141191,113.258374
355,2015-2,2,Handan,681.0,5885.0,36.625604,114.539085
356,2015-2,2,Hyderābād,547.0,4270.0,17.384050369263,78.456359863281
357,2015-2,2,Jinan,541.0,5320.0,36.650997,117.120497
358,2015-2,2,Jining,583.0,5591.0,35.414921,116.587099
359,2015-2,2,Kolkāta,596.0,4953.0,22.562629699707,88.363037109375
